Riot of Color	表裏一体！？怪盗いいんちょの悩み♥	pure	無意識のフィロソフィア	レトロスペクト路	ABSOLUTE
Stella Sinistra	demolizione	brave!	夢幻ノ光	取り残された美術(Arranged:HiZuMi)	Symsonic Breeze
BLSTR	†渚の小悪魔ラヴリィ～レイディオ†	どうなっちゃったって	マインド・ゲーム	Ensamble Forecast 3/28	Over Da Moon
カタルシスの月	Struggle	Butter-FLY	ZEPHYRANTHES	High Speed Junkie!	キルト
Shining Wizard	プリンシプル	旗（Mystic Mix）	The Zoo Zone	千年ノ理	疾風
Liar×Girl	禁じられた契約	蒼氷のフラグメント	paparazzi	Amabie	Denpasar
懐色坂	"Schall" we step？	HADROS GALE	残酷な天使のテーゼ	LOTUS	The Sky of Sadness
勇猛無比	Welcome to pop'n fantasy	Synergy For Angels	ウソツキ横丁は雨模様	六兆年と一夜物語	TAKE YOU AWAY
青春の扉	ボタン	NEW PEOPLE	CARNIVOROUS	IKKI! Explosion	蒼い弓箭
ゴールデンハート　ft. Kimberley Nutbey	World Spider Web	不可説不可説転	Blind	ブルーローズイノセンス	凛として咲く花の如く
水月鏡花のコノテーション	REFLEXES MANIPULATION	Scarlet Pinheel	ノープラン・デイズ	ホムンクルスレシピ	憂恋☆アクティベーション
東京メモリー	Dimension Gale	滅びに至るエランプシス	コンビニエンスドラマ	Crumble Soul	黒猫と珈琲
脳漿炸裂ガール	狂水一華	コルドバの女	アルストロメリア	朱と碧のランページ	ネリと琥珀糖
ラブケミ	Engraved on my heart ft. 小林マナ	電波の暮らし	ランカーキラーガール	ナスカの丘	TURBO BOOSTER
ココロコースター	mathematical good-bye	Into The Light	空想モダニズム	MA・TSU・RI	Poppin' Soda
結果オーライ！相性チェック	Sweet,Sweet,Sweet.	ドーナツホール	Lovin' You	Gradation	人妖絵巻其の二「鬼」～夜叉の祭は終夜～
CURUS	グランデーロの守り	SESSION With You!	Gotta Get My Groove On	黒き螺旋のクレイドル	異能対決!VS.淀ジョル
アルレシャ	恋とメロンとキューピット	Pure Rude	チョコレートスマイル	Inside Insight	
パーフェクトイーター	Little Little Princess	Sword of Vengeance	霽れと褻と穢れ	GO²TOS	
